housing_type,bedrooms,bathrooms,guest_toilet,parking_space,district,address,rent_per_annum, district_code,local government
flat / apartment,4,4,1,4,ikoyi,"L5 L5 Banana 2 Bedroom/ 4 Bedroom For Sale4 BEDROOM BLOCK OF FLATS FOR RENT Banana Island Ikoyi Lagos   Updated 09 Oct 2022,  24 May 2022",861327000,25,eti osa
duplex,5,5,1,4,ikoyi,5 Bedroom Detached Duplex.5 BEDROOM DUPLEX For Sale Ikoyi Lagos   Updated Today,800000000,25,eti osa
duplex,5,5,1,4,ikoyi,5 Bedroom Detached Duplex.5 BEDROOM DUPLEX For Sale Ikoyi Lagos   Updated Today,800000000,25,eti osa
duplex,5,5,1,4,ikoyi,5 Bedroom Detached Duplex.5 BEDROOM DUPLEX For Sale Ikoyi Lagos   Updated Today,800000000,25,eti osa
duplex,5,5,1,4,ikoyi,5 Bedroom Detached Duplex.5 BEDROOM DUPLEX For Sale Ikoyi Lagos   Updated Today,800000000,25,eti osa
duplex,5,5,1,4,ikoyi,5 Bedroom Detached Duplex.5 BEDROOM DUPLEX For Sale Ikoyi Lagos   Updated Today,800000000,25,eti osa
duplex,5,5,1,4,ikoyi,5 Bedroom Detached Duplex.5 BEDROOM DUPLEX For Sale Ikoyi Lagos   Updated Today,800000000,25,eti osa
duplex,5,5,1,4,ikoyi,5 Bedroom Detached Duplex.5 BEDROOM DUPLEX For Sale Ikoyi Lagos   Updated Today,800000000,25,eti osa
duplex,5,5,1,4,ikoyi,5 Bedroom Detached Duplex.5 BEDROOM DUPLEX For Sale Ikoyi Lagos   Updated Today,800000000,25,eti osa
duplex,5,5,1,4,ikoyi,5 Bedroom Detached Duplex.5 BEDROOM DUPLEX For Sale Ikoyi Lagos   Updated Today,800000000,25,eti osa
duplex,5,5,1,4,ikoyi,5 Bedroom Detached Duplex.5 BEDROOM DUPLEX For Sale Ikoyi Lagos   Updated Today,800000000,25,eti osa
duplex,5,5,1,4,ikoyi,5 Bedroom Detached Duplex.5 BEDROOM DUPLEX For Sale Ikoyi Lagos   Updated Today,800000000,25,eti osa
duplex,5,5,1,3,ikoyi,5 Bedroom Detached Duplex.5 BEDROOM DUPLEX For Sale Ikoyi Lagos   Updated Today,800000000,25,eti osa
duplex,5,5,1,3,ikoyi,5 Bedroom Detached Duplex.5 BEDROOM DUPLEX For Sale Ikoyi Lagos   Updated Today,800000000,25,eti osa
duplex,5,5,1,3,ikoyi,5 Bedroom Detached Duplex.5 BEDROOM DUPLEX For Sale Ikoyi Lagos   Updated Today,800000000,25,eti osa
duplex,5,5,1,3,ikoyi,5 Bedroom Detached Duplex.5 BEDROOM DUPLEX For Sale Ikoyi Lagos   Updated Today,800000000,25,eti osa
duplex,5,5,1,4,ikoyi,5 Bedroom Detached Duplex.5 BEDROOM DUPLEX For Sale Ikoyi Lagos   Updated Today,800000000,25,eti osa
duplex,5,5,1,4,ikoyi,5 Bedroom Detached Duplex.5 BEDROOM DUPLEX For Sale Ikoyi Lagos   Updated Today,800000000,25,eti osa
duplex,5,5,1,4,ikoyi,5 Bedroom Detached Duplex.5 BEDROOM DUPLEX For Sale Ikoyi Lagos   Updated Today,800000000,25,eti osa
duplex,5,5,1,4,ikoyi,5 Bedroom Detached Duplex.5 BEDROOM DUPLEX For Sale Ikoyi Lagos   Updated Today,800000000,25,eti osa
duplex,5,5,1,4,ikoyi,5 Bedroom Detached Duplex.5 BEDROOM DUPLEX For Sale Ikoyi Lagos   Updated Today,800000000,25,eti osa
duplex,5,5,1,4,ikoyi,5 Bedroom Detached Duplex.5 BEDROOM DUPLEX For Sale Ikoyi Lagos   Updated Today,800000000,25,eti osa
