housing_type,bedrooms,bathrooms,guest_toilet,parking_space,district,address,rent_per_annum, district_code,local government
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
