latitude,longitude,altitude,geometry,state_code,source,name,ward_code,global_id
6.4558767,3.2720443,,Point,LA,GRID,Chimons Gas Limited,LASAON08,0c743af5-7252-49fb-a226-f9e2da99f1e6
6.4707475,3.8188614,,Point,LA,GRID,Ziuss Filling Station,LASIUI10,0c93e743-e2fd-4ed6-b622-481220d5f0dd
6.4575838,3.3944586,,Point,LA,GRID,Oando Filling Station,LASLID16,0cae1f0e-b739-49ec-810b-aebcf8388493
6.4717292,3.7963439,,Point,LA,GRID,Biswun Oil,LASIUI02,0cef58b4-6649-4519-ba83-dd6efe14a0e2
6.630478,3.5235832,,Point,LA,GRID,Gabaak Nig Ltd,LASIKU20,0dc920c6-8f71-4858-8a70-180ed953ea6c
6.4735718,3.0122549,,Point,LA,GRID,Eni Olohunda Oil,LASBDY08,0dfcf87d-23ec-428e-b74c-fb547a7dc772
6.5246283,3.293075,,Point,LA,GRID,Randuk Filling Station,LASOIO17,0e3580d6-dc6f-4aff-87e9-f0c97fea4f64
6.6433969,3.5553664,,Point,LA,GRID,Energy Filling Station,LASIKU12,0e9ab6de-841f-4b7a-984e-55366cbb790e
6.6629225,3.2836067,,Point,LA,GRID,NNPC Filling Station 2,LASAMO05,0f2042be-6ee7-4bda-86d4-c037d8257fbc
6.4189431,2.7415639,,Point,LA,GRID,Mjm Energy Star,LASBDY10,0f814931-6f1f-4385-99f9-c82a37475206
6.4945332,3.135237,,Point,LA,GRID,Bovag Petrol Station,LASOJO06,0ff4ef4a-6f16-45f0-ac85-61f8bef250ae
6.4338433,2.7230733,,Point,LA,GRID,Filling Station,LASBDY17,100019a7-a722-4d7f-8a9c-bfbb7acb003e
6.47504,3.6126283,,Point,LA,GRID,Oando Filling Station 1,LASEOA18,1014f134-db28-40b7-a96d-3d6d1293748c
6.49869,3.0910133,,Point,LA,GRID,Petroleum Limited,LASBDY08,104e8cb5-2e5c-4dd7-a54b-876fe0fa535c
6.5591362,3.2698848,,Point,LA,GRID,Energy,LASAMO28,10d221fb-9d8e-475f-ab8f-1c4d70ba21a9
6.4383833,3.51757,,Point,LA,GRID,Total Filling Station,LASEOA04,11265530-a393-49a7-b242-942bf03bd2a2
6.4820772,3.1881268,,Point,LA,GRID,Mobile Filling Station,LASOJO12,11a3d88f-f805-456a-b253-1198623ff07b
6.56436,3.2512883,,Point,LA,GRID,Leto Ventures Nig Ltd,LASAMO25,11f08be1-97c9-452d-8e2e-9df9810be148
6.4333247,3.4911631,,Point,LA,GRID,Oando Filling Station,LASEOA13,11f98abd-3699-4a5a-bebc-8c0401377ebc
6.4839397,3.1706723,,Point,LA,GRID,J Atofolaki Petroleum Ltd,LASOJO05,120df206-1300-4a66-b722-14ce1a6134e7
6.4270415,2.7245316,,Point,LA,GRID,Filling Station 4,LASBDY17,1232f3d6-9a07-4b04-8418-198646c7fa79
6.4732605,3.7813737,,Point,LA,GRID,Matrix Gas,LASIUI02,1267e9f4-757e-4cab-a932-6a03767ac3fb
6.44935,3.3402783,,Point,LA,GRID,Total Filling Station 2,LASATO13,128ecb50-f45a-413c-a4f7-13ddfb8b2b9a
6.4126229,4.0999803,,Point,LA,GRID,M Maruk Filling Station,LASIUI06,12d85389-7e46-45c6-9993-3e1a1b116d74
6.5287133,3.32033,,Point,LA,GRID,Total Filling Station 2,LASOIO14,12e046e9-7ea1-4698-b8ff-62e49e3284a2
6.6259638,3.3231539,,Point,LA,GRID,Oando Filling Station,LASAGG13,12ec22af-d338-4cb0-9eae-44134425d416
6.5922973,3.3432068,,Point,LA,GRID,Conoil Filling Station,LASIKA06,13493b84-7520-42b6-a9cd-6d76e4488643
6.5558819,3.2695579,,Point,LA,GRID,NNPC Filling Station,LASAMO28,14341b59-9ad9-4e3d-baaa-0e0a2f9d5bc1
6.4600133,3.3638867,,Point,LA,GRID,Total Filling Station 2,LASAPA09,14e5f745-b643-4fa9-b8bb-db5d9ac0c21a
6.5009654,3.0229183,,Point,LA,GRID,Arugboode Oil,LASBDY13,15297096-327f-4ddd-81fc-fb9011b977bb
6.4503417,3.34805,,Point,LA,GRID,Tinpet,LASATO13,157fd8b9-f760-4730-b7cb-887662d1f032
6.4201154,2.7478049,,Point,LA,GRID,Conoil,LASBDY20,15ab6f7e-c5bc-444a-91fa-59fe6b93a44c
6.4683604,3.1854029,,Point,LA,GRID,Lots Filling Station,LASOJO10,161e18e1-6fe2-46cd-978f-1ec37bd9f64d
6.6163478,3.3125762,,Point,LA,GRID,First Royal,LASAGG10,16673f4d-a621-43e5-854e-56bce6c48d5a
6.5511571,3.2565327,,Point,LA,GRID,Ameen Oil,LASAMO25,166c719a-5a68-4e30-afa6-68feae6c46f6
6.5915744,3.3055366,,Point,LA,GRID,Dapsey Oil,LASAMO35,1686206f-f918-43a7-a2c0-d3d14e75afc4
6.4859357,3.8871565,,Point,LA,GRID,Total Filling Station 1,LASIUI01,16a1bdc9-0887-4d68-955c-a43451d7c5bc
6.460195,3.3640117,,Point,LA,GRID,Total Filling Station 1,LASAPA09,183ec2e6-b0a3-4a8f-b9d3-ffc83fd944a2
6.4180432,2.7372874,,Point,LA,GRID,Fo Filling Station,LASBDY10,1844cebe-ff9c-465b-b651-17c05b31d221
6.6215289,3.4809309,,Point,LA,GRID,Saf Petroleum,LASIKU22,18571a2e-ac2a-4f51-a204-cba2f3f337bc
6.5410534,3.3101302,,Point,LA,GRID,Rivet Specialist Clinic,LASOIO12,1879fb51-c319-4931-883c-1b604122de3b
6.6795533,3.269685,,Point,LA,GRID,Total Filling Station 2,LASAMO11,18824229-9131-46b8-8027-da8991eb06eb
6.6928933,3.2667717,,Point,LA,GRID,Techn Oil,LASIOE04,19275f70-e2c6-4814-95da-c3c4b9cde06e
6.539102,3.3025357,,Point,LA,GRID,Acorn Filling Station,LASOIO03,194d5a9f-9f31-4e75-b74a-4c7e0bb47542
6.6184783,3.5624767,,Point,LA,GRID,Stir Oil and Gas,LASIKU29,19e72a0f-6d1a-4625-868e-e697a55556e5
6.4487372,3.6109929,,Point,LA,GRID,Edun Oil,LASEOA17,1aac0be5-8ea1-4f1e-a2f4-f05d849824f7
6.5374732,3.3050383,,Point,LA,GRID,Nation Wide Filling Station,LASOIO09,1b51f863-2dd7-42a5-8d23-f052d37192a7
6.5215139,3.3638872,,Point,LA,GRID,Mobil Filling Station,LASMUN05,1b6d1b27-eacb-4d3c-be83-d25f73aad3bd
6.5674193,3.2909897,,Point,LA,GRID,Mobil,LASOIO02,1bd4666a-3c3c-42a2-87ba-328e14708996
6.6163892,3.986206,,Point,LA,GRID,Foltar,LASEPE14,1c79c173-c3c9-4682-9a15-62bd852d334c
6.5995179,3.2682099,,Point,LA,GRID,Olaide Oil,LASAMO16,1c83cab9-f619-4575-b0e4-e3d3f03807aa
6.635132,3.3242425,,Point,LA,GRID,Mef,LASIOE06,1ca29a93-f61f-4f1c-a236-78fd2f7278de
6.6241759,3.3235225,,Point,LA,GRID,MRS,LASAGG01,1cca365b-73d6-4b41-80cf-55d3e1a006a6
6.4935167,3.1511817,,Point,LA,GRID,Total Petrol Station By Four Square Bstop Lagos Badagry Express Road Lagos,LASOJO13,1cd4443a-bd05-4eef-ae8d-522bb969112f
6.60092,3.2455317,,Point,LA,GRID,Shogbade Oil Nigeria Ltd,LASAMO14,1db8be96-1e93-4517-9bae-60638ab793c8
6.59537,3.944935,,Point,LA,GRID,Total Filling Station 2,LASEPE15,1e087cc8-3fad-41c6-b8a3-8fd191316f67
6.4751492,3.6035666,,Point,LA,GRID,Essence Oil,LASEOA18,1e1cc616-6325-4a57-a67f-88540f3bd360
6.6740615,3.316624,,Point,LA,GRID,Moonlight Oil,LASIOE11,1e501aff-0d09-483d-8886-76796138a9c5
6.4734817,2.9606083,,Point,LA,GRID,Pat Anos Oil,LASBDY13,1ecdd663-e7ab-496f-bb60-6b678517f979
6.6657733,3.2562267,,Point,LA,GRID,Sojuak Filling Station,LASAMO11,1ece8f50-b902-4389-9ad5-47076e473d3b
6.6722134,3.3214802,,Point,LA,GRID,Lado Oil 1,LASIOE11,1ef9df9c-3ded-48b2-8bf6-4abb77f7c1f5
6.5144925,3.3204993,,Point,LA,GRID,NNPC Filling Station 2,LASOIO18,1f01c74d-5539-488c-ad8b-968089e4d9f4
6.5956483,3.352755,,Point,LA,GRID,Total Filling Station,LASIKA16,1fa25f51-7f21-4fc3-9647-10cfca0f5f9a
6.5678545,3.2515027,,Point,LA,GRID,Total Lasu Idimu,LASAMO25,1fcd32ae-b004-4d58-9187-4e1c23e9fcc6
6.6092783,3.4989594,,Point,LA,GRID,Simart Filling Station,LASIKU05,1fd2175d-a686-4de8-8305-22fc331c4b11
6.5339551,3.3060543,,Point,LA,GRID,Mobil Filling Station,LASOIO03,20024792-b6ae-4e94-92ba-a594afedf6ae
6.5302391,3.217016,,Point,LA,GRID,NIPCO Filling Station,LASAMO08,20c8b3bb-1883-48f6-99d0-a00a651b22fa
6.4394302,3.9323171,,Point,LA,GRID,KB Filling Station,LASIUI08,20ea532c-43d2-44ef-a753-b34db3854643
6.6359733,3.3363867,,Point,LA,GRID,Taibod Filling Station,LASIOE10,210b33e1-5223-417d-907f-d7e8b4086c29
